Date,Close,High,Low,Open,Volume
2018-01-02,40.34187698364258,40.35124665651499,39.63930160450471,39.85007636233597,102223600
2018-01-03,40.33487319946289,40.87820016669004,40.27164395425679,40.405131489843654,118071600
2018-01-04,40.52222442626953,40.62526943467592,40.299742834565635,40.40746910809244,89738400
2018-01-05,40.98357391357422,41.070223754905165,40.526900518948345,40.61823519787352,94640000
2018-01-08,40.83134460449219,41.1264250065992,40.73298089697299,40.83134460449219,82271200
2018-01-09,40.82666778564453,40.997626844556606,40.61121170113573,40.87819028123188,86336000
2018-01-10,40.81731033325195,40.81965453960698,40.51520431273331,40.552675879560745,95839600
2018-01-11,41.04914855957031,41.09833042205364,40.86413856419507,40.88755560589044,74670800
2018-01-12,41.47304153442383,41.53627434620208,41.13580463625278,41.25992605384564,101672400
2018-01-16,41.262264251708984,42.01167748658843,41.25055394405002,41.66273032986267,118263600
2018-01-17,41.94375991821289,41.97888726477312,40.99996709013325,41.25289113233468,137547200
2018-01-18,41.981231689453125,42.17795556841482,41.7446991964493,42.006992937085954,124773600
2018-01-19,41.79387664794922,42.056170360899095,41.547974505316795,41.829003993975064,129700400
2018-01-22,41.45195770263672,41.63462706087131,41.35828239145941,41.52221597276173,108434400
2018-01-23,41.4613151550293,42.02337762529229,41.40979624606809,41.52220731072736,130756400
2018-01-24,40.800899505615234,41.52221074603233,40.56202284665312,41.510500440238225,204420400
2018-01-25,40.07256317138672,40.97185891844492,39.93673148456798,40.86881394406632,166116000
2018-01-26,40.16623306274414,40.28098832757314,39.826655678167626,40.28098832757314,156572000
2018-01-29,39.334861755371094,39.850083072126374,39.126431167404846,39.850083072126374,202561600
2018-01-30,39.10301208496094,39.196687392224455,38.5713956038565,38.76577526123802,184192800
2018-01-31,39.21074295043945,39.44727902539494,38.99294622732507,39.07959607542636,129915600
2018-02-01,39.2927131652832,39.48943348596959,39.05383644817289,39.149855976180945,188923200
2018-02-02,37.587791442871094,39.063200793643205,37.49411613346626,38.875846601349544,346375200
2018-02-05,36.6486930847168,38.37937114734426,36.53393776298106,37.25993410945991,290954000
2018-02-06,38.1802978515625,38.34189080334102,36.06554568586119,36.25992535441477,272975200
2018-02-07,37.36296844482422,38.266949183640655,37.252901556247814,38.19435027749091,206434400
2018-02-08,36.334877014160156,37.70490125305987,36.3067751256856,37.53862340811967,217562000
2018-02-09,36.77928924560547,37.12730529106897,35.32843481182689,36.93448689935861,282690400
2018-02-12,38.26070785522461,38.538179142646804,37.03794256921059,37.270739013104965,243278000
2018-02-13,38.64400863647461,38.74041964665234,38.01146342597023,38.0820081550772,130196800
2018-02-14,39.35648727416992,39.39646176761508,38.3006812833972,38.33830201437041,162579600
2018-02-15,40.67802429199219,40.701536806482075,39.73978777414594,39.925552067246045,204588800
2018-02-16,40.54634475708008,41.10834882844967,40.3911506581798,40.52988635346286,160704400
2018-02-20,40.40995407104492,40.976654782310895,40.308839143672124,40.45698268440411,135722000
2018-02-21,40.22654342651367,40.943737915034774,40.21243161204451,40.64040028293785,149886400
2018-02-22,40.562801361083984,40.903763321580946,40.37703706692749,40.39819940650478,123967600
2018-02-23,41.268245697021484,41.303516266669185,40.807356587986256,40.83792680705018,135249600
2018-02-26,42.08420181274414,42.18296298826137,41.43519826446505,41.46811865630413,152648800
2018-02-27,41.94782638549805,42.43928220604922,41.893743640494264,42.114782147972065,155712400
2018-02-28,41.884315490722656,42.472182050329934,41.86785709284107,42.15238249838146,151128400
2018-03-01,41.150657653808594,42.274658187251276,40.60041543545601,41.98307509274821,195208000
2018-03-02,41.43519592285156,41.4563582618264,40.55104215533317,40.63334492430652,153816000
2018-03-05,41.57863998413086,41.79497451115357,41.03780187254719,41.20005366482767,113605600
2018-03-06,41.543365478515625,41.914897680952514,41.41638784408837,41.83494866712595,95154000
2018-03-07,41.15772247314453,41.350544470010895,40.97901229082367,41.136560133406576,126814000
2018-03-08,41.606834411621094,41.649159071693454,41.16711147662721,41.263518842809326,95096400
2018-03-09,42.32170486450195,42.3264088034686,41.71267573229615,41.846711082439775,128740800
2018-03-12,42.73085403442383,42.88840187598345,42.37578384715246,42.39459242365057,128828400
2018-03-13,42.31935501098633,43.1494226362358,42.147698911966,42.935438262301844,126774000
2018-03-14,41.95957946777344,42.44868505468864,41.81143589243283,42.40165643034284,117473600
2018-03-15,42.00895309448242,42.382839043917734,41.87257117709006,41.97368252757985,90975200
2018-03-16,41.86081314086914,42.119472337041785,41.766752315671596,42.008953109968175,157618800
2018-03-19,41.22121047973633,41.73147830463949,40.835570098387464,41.696207740634804,133787200
2018-03-20,41.20710754394531,41.573935808897474,41.13656281882672,41.20710754394531,78597600
2018-03-21,40.2735710144043,41.17182942442222,40.271217251359516,41.16007137335858,148219600
2018-03-22,39.70451736450195,40.60512596898789,39.64573069596585,39.974934604546604,165963200
2018-03-23,38.785091400146484,39.95612078420119,38.785091400146484,39.59634667471418,164115200
